[Problem name],[Solve duration],[(DD) Results generated],[(AR) Equations recorded],[(GGraph) Total nodes],[(Traceback) Solution length],[(Traceback) Solution depth],[Problem source],
[imo-2000-6],[43256140],[7539],[79],[1770],[37],[11],[IMO-AG-30],
[imo-2002-2a],[4401528],[2964],[38],[595],[46],[11],[IMO-AG-30],
[imo-2002-2b],[426213],[846],[31],[449],[31],[9],[IMO-AG-30],
[imo-2003-4],[9165030],[5190],[63],[1612],[94],[12],[IMO-AG-30],
[imo-2004-1],[3885111],[1707],[42],[810],[45],[10],[IMO-AG-30],
[imo-2004-5],[318527],[367],[15],[259],[30],[11],[IMO-AG-30],
[imo-2005-5],[2032316],[1441],[29],[679],[48],[17],[IMO-AG-30],
[imo-2007-4],[1630636],[1704],[38],[632],[76],[9],[IMO-AG-30],
[imo-2008-1],[8727132],[1903],[61],[905],[50],[12],[IMO-AG-30],
[imo-2009-2],[186771],[414],[25],[378],[30],[8],[IMO-AG-30],
[imo-2010-2],[7949803],[2521],[51],[1002],[98],[18],[IMO-AG-30],
[imo-2010-4],[2050488],[2064],[36],[761],[70],[11],[IMO-AG-30],
[imo-2011-6],[193499781],[12577],[141],[4239],[157],[20],[IMO-AG-30],
